Unique Response Number,About you,1. What Generation are you?,2. Which gender?,Twitter usage,3. Do you use Twitter?,3.a. If you selected No please specify:,3.b. If you do use Twitter why? e.g. leisure politics etc?,3.c. How long have you used Twitter for?,3.d. Why do you use Twitter?,3.d.i. If you selected Other please specify:,3.e. How frequently do you access Twitter?,3.f. How many followers do you have?,3.g. How many accounts do you follow?,3.h. Who do you follow?,3.h.i. If you selected Others please specify:,3.i. Please choose areas of Twitter that you feel you have a good knowledge about?,Twitter Bots,4. How would you describe your ability to determine malicious bots from humans on Twitter?,5. What percentage of accounts on Twitter would you assume are run by bots?,6. How many malicious bot accounts do you estimate that you encounter on Twitter on a daily basis?,7. Which of the following do you believe are good indicators of an account being a human or bot?,7.a. If you selected Other please specify:,8. How strongly do you agree with the following statements:,8.1. I believe that Twitter bot(s) have influenced my personal opinion on a political subject.,8.2. I believe that Twitter bot(s) have influenced my personal opinion on a person or institution.,8.3. I believe that Twitter bot(s) have influenced public opinion on a political subject.,8.4. I believe that Twitter bot(s) have influenced public opinion on a person or institution.,9. Has a Twitter bot directly affected you or somebody that you know in any other way?,StartDate,CompletionDate
91532791530996770439,,Generation X  born 19651980,Female,,Yes,,leisure and updates,Three to five years,Leisure,,Once a day,88,195,Sports IconsMusiciansOthers,Comedians and reporters,Trending topics,,Average,More than 25%,One to three,Tweet contentAccount agePost replies,,,5  Strongly disagree,5  Strongly disagree,2  Somewhat agree,2  Somewhat agree,No,20220628 10:28:44 UTC,20220628 10:33:59 UTC
91532791530996773020,,Generation Z  born 19972012,Female,,Yes,,Mix of political and leisure mainly leisure,Less than one year,Leisure,,Once a day,0,1,Musicians,,Trending topics,,Average,5% to 10%,One to three,UsernameTweet contentAccount ageFollowers slash following,,,5  Strongly disagree,5  Strongly disagree,3  Neutral slash unsure,2  Somewhat agree,Ive seen twitter bots come up on my timeline especially when looking at political news but Ive never paid much attention to them,20220628 11:06:58 UTC,20220628 11:20:02 UTC
91532791530996773806,,Generation Y  born 19811996,Male,,Yes,,Use it sometimes to check out conference updates and research people at companies.,five to ten years,Other,Use it sometimes to check out conference updates and research people at companies.,Once a month,Under 100,300,PoliticiansMusiciansScientistsOthers,Academics conferences authors journalists ,Trending topicsEcho chambersBotsDisinformationFollowers,,Good,More than 25%,More than three,UsernameProfile pictureTweet contentAccount ageFollowers slash following,,,5  Strongly disagree,5  Strongly disagree,1  Strongly agree,1  Strongly agree,I created one and had my linked account suspended. ,20220628 11:20:06 UTC,20220628 11:29:24 UTC
91532791530996774565,,Generation Z  born 19972012,Male,,Yes,N slash A,Football and Politics,One to three years,Leisure,,Once a day,35,74,Sports IconsScientistsOthers,Youtubers Twitch Streamers Football Journalists,Echo chambersBotsDisinformation,,Good,More than 25%,More than three,UsernameProfile pictureAccount ageFollowers slash following,,,4  Somewhat disagree,4  Somewhat disagree,5  Strongly disagree,4  Somewhat disagree,No,20220628 11:31:44 UTC,20220628 11:35:48 UTC
91532791530996774009,,Generation X  born 19651980,Female,,No,I dont anymore but used to. Now only visit if I am linked to specific posts via fb etc.,,,,,Hardly ever,,,,,Trending topicsEcho chambersFollowers,,Poor,5% to 10%,,Profile picturePost repliesFollowers slash following,,,5  Strongly disagree,5  Strongly disagree,2  Somewhat agree,2  Somewhat agree,,20220628 11:23:03 UTC,20220628 11:40:06 UTC
91532791530996792655,,Generation X  born 19651980,Female,,Yes,,Sport news politics ,Three to five years,Leisure,,Constantly addicted to using it,Not many,400,Sports IconsPoliticians,,Trending topics,,Poor,15% to 25%,Less than one,UsernameProfile pictureTweet content,,,3  Neutral slash unsure,3  Neutral slash unsure,3  Neutral slash unsure,3  Neutral slash unsure,No,20220628 15:33:17 UTC,20220628 15:36:04 UTC
91532791530996795258,,Generation Y  born 19811996,Female,,Yes,,I mainly use it to find like minded opinions or funny content about trending topics slash events slash people,More than ten years,Leisure,,More than a few times a week,0,0,,,Trending topics,,Good,5% to 10%,Less than one,UsernameProfile pictureTweet contentPost replies,,,5  Strongly disagree,5  Strongly disagree,2  Somewhat agree,2  Somewhat agree,,20220628 16:09:31 UTC,20220628 16:13:33 UTC
91532791530996795796,,Generation Y  born 19811996,Female,,Yes,,I started using it while studying to keep up with my academic field new discoveries papers policies etc. Still use it for this now but also for entertainment.,One to three years,Leisure,,More than once a week,48,333,Others,Academics professionals journalists and friends,Trending topicsEcho chambers,,Average,15% to 25%,Less than one,Profile pictureTweet contentAccount ageFollowers slash following,,,4  Somewhat disagree,4  Somewhat disagree,1  Strongly agree,1  Strongly agree,No,20220628 16:17:28 UTC,20220628 16:22:02 UTC
91532791530996800348,,Generation X  born 19651980,Male,,Yes,,Leisure authors music,five to ten years,Leisure,,More than a few times a week,,400,PoliticiansMusicians,,Trending topics,,Average,More than 25%,One to three,UsernameProfile pictureNumber of likes slash retweets slash favouritesAccount age,,,5  Strongly disagree,4  Somewhat disagree,4  Somewhat disagree,4  Somewhat disagree,No,20220628 17:59:41 UTC,20220628 18:03:20 UTC
91532791530996800811,,Generation X  born 19651980,Female,,Yes,,keep abreast of what is going on,More than ten years,Other,Current affairs news,Once a day,150,475,PoliticiansMusiciansScientistsOthers,People with a similar interest friends education accounts scientists,,,Average,More than 25%,More than three,Tweet contentAccount ageOther,I usually only follow people I know ,,3  Neutral slash unsure,2  Somewhat agree,2  Somewhat agree,2  Somewhat agree,No,20220628 18:13:16 UTC,20220628 18:20:57 UTC
